% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
1.018	1	1	102	9	2	26	7708	26	7708	0
1.038	1	1	104	9	2	26	7708	26	7708	0
1.049	1	1	105	10	2	26	7708	26	7708	0
1.068	1	2	107	9	1	26	7708	26	7708	0
1.083	1	1	109	4	2	26	7708	26	7708	0
1.088	1	2	109	9	1	26	7708	26	7708	0
1.103	1	1	111	4	2	26	7708	26	7708	0
1.122	1	2	113	3	1	24	6882	24	6882	0
1.123	1	1	113	4	2	26	7708	26	7708	0
1.129	1	1	113	10	2	28	9422	28	9422	0
1.132	1	2	114	3	1	26	7708	26	7708	0
1.137	1	2	114	8	1	26	7708	26	7708	0
1.142	1	2	115	3	1	26	7708	26	7708	0
1.148	1	2	115	9	1	26	7708	26	7708	0
1.162	1	2	117	3	1	26	7708	26	7708	0
1.163	1	1	117	4	2	26	7708	26	7708	0
1.171	1	2	118	2	1	26	7708	26	7708	0
1.172	1	2	118	3	1	28	9422	28	9422	0
1.173	1	2	118	4	1	28	9422	28	9422	0
1.178	1	1	118	9	2	26	7708	26	7708	0
1.182	1	2	119	3	1	28	9422	28	9422	0
1.198	1	2	120	9	1	26	7708	26	7708	0
1.212	1	1	122	3	2	26	7708	26	7708	0
1.227	1	2	123	8	1	26	3662	26	3662	0
1.227	1	1	123	8	2	26	3662	26	3662	0
1.231	1	2	124	2	1	28	9422	28	9422	0
1.232	1	2	124	3	1	28	9422	28	9422	0
1.233	1	2	124	4	1	28	9422	28	9422	0
1.234	1	2	124	5	1	28	9422	28	9422	0
1.241	1	2	125	2	1	28	9422	28	9422	0
1.242	1	2	125	3	1	28	9422	28	9422	0
1.243	1	2	125	4	1	28	9422	28	9422	0
1.244	1	2	125	5	1	28	9422	28	9422	0
1.245	1	2	125	6	1	28	9422	28	9422	0
1.246	1	2	125	7	1	26	7708	26	7708	0
1.247	1	2	125	8	1	26	7708	26	7708	0
1.248	1	2	125	9	1	26	7708	26	7708	0
1.249	1	2	125	10	1	26	7708	26	7708	0
1.254	1	2	126	5	1	26	7708	26	7708	0
1.255	1	2	126	6	1	26	7708	26	7708	0
1.256	1	2	126	7	1	24	6882	24	6882	0
1.257	1	2	126	8	1	24	6882	24	6882	0
1.258	1	2	126	9	1	24	6882	24	6882	0
1.259	1	2	126	10	1	24	6882	24	6882	0
1.26	1	2	127	1	1	24	6882	24	6882	0
1.261	1	1	127	2	2	28	4395	28	4395	0
1.261	1	2	127	2	1	24	3182	24	3182	0
1.262	1	2	127	3	1	26	3662	26	3662	0
1.262	1	1	127	3	2	28	4395	28	4395	0
